Medicine_Name,Drug_Class,Primary_Use,Description
Amoxicillin 500 MG,Antibiotic,Bacterial infections,Amoxicillin 500 MG is a penicillin class antibiotic used to treat bacterial infections such as respiratory tract infections ear infections urinary tract infections and skin infections by inhibiting bacterial cell wall synthesis
Atomoxetine 25 MG,Selective norepinephrine reuptake inhibitor,ADHD treatment,Atomoxetine 25 MG is a non stimulant medication used for the treatment of attention deficit hyperactivity disorder by increasing norepinephrine levels to improve focus and reduce impulsive behavior
Calcitriol 0.00025 MG,Vitamin D analog,Calcium and bone disorders,Calcitriol 0.00025 MG is an active form of vitamin D used to manage low calcium levels bone disorders and parathyroid gland conditions by enhancing calcium absorption
Oseltamivir 45 MG,Antiviral,Influenza treatment and prevention,Oseltamivir 45 MG is an antiviral drug used to treat and prevent influenza infections by blocking the spread of the virus within the body
Ramipril 5 MG,ACE inhibitor,Hypertension and heart failure,Ramipril 5 MG is an ACE inhibitor prescribed for high blood pressure heart failure and prevention of heart attacks by relaxing blood vessels and improving blood flow
apixaban 2.5 MG,Anticoagulant,Blood clot prevention and stroke risk reduction,apixaban 2.5 MG is an anticoagulant medication used to prevent blood clots and reduce the risk of stroke in patients with atrial fibrillation
aprepitant 80 MG,Neurokinin-1 receptor antagonist,Prevention of chemotherapy induced nausea and vomiting,aprepitant 80 MG is used to prevent nausea and vomiting caused by chemotherapy by blocking neurokinin receptors in the brain
benzonatate 100 MG,Antitussive,Cough suppression,benzonatate 100 MG is a non narcotic cough suppressant that reduces the cough reflex by numbing the throat and respiratory passages
carvedilol 3.125 MG,Beta blocker,Heart failure and hypertension,carvedilol 3.125 MG is a beta blocker used in the management of heart failure and hypertension by lowering heart rate and reducing cardiac workload
celecoxib 200 MG,NSAID,Pain and inflammation,celecoxib 200 MG is a non steroidal anti inflammatory drug used to relieve pain swelling and inflammation in conditions such as arthritis
duloxetine 30 MG,SNRI antidepressant,Depression anxiety and neuropathic pain,duloxetine 30 MG is an antidepressant medication used to treat depression anxiety and nerve related pain by increasing serotonin and norepinephrine activity
eltrombopag 25 MG,Thrombopoietin receptor agonist,Low platelet count,eltrombopag 25 MG is used to increase platelet production in patients with low platelet counts due to chronic immune or bone marrow disorders
montelukast 10 MG,Leukotriene receptor antagonist,Asthma and allergic rhinitis,montelukast 10 MG is used to prevent asthma attacks and relieve allergy symptoms by blocking leukotrienes that cause airway inflammation
mycophenolate mofetil 250 MG,Immunosuppressant,Prevention of organ transplant rejection,mycophenolate mofetil 250 MG is an immunosuppressant drug used to prevent organ transplant rejection and treat autoimmune diseases
pantoprazole 40 MG,Proton pump inhibitor,Acid reflux and peptic ulcer disease,pantoprazole 40 MG is a proton pump inhibitor that reduces stomach acid and is used to treat acid reflux ulcers and GERD
pitavastatin 1 MG,Statin,Cholesterol management,pitavastatin 1 MG is a statin medication used to lower cholesterol levels and reduce the risk of cardiovascular disease
prasugrel 10 MG,Antiplatelet,Prevention of heart attack and stroke,prasugrel 10 MG is an antiplatelet medication used to prevent heart attacks and strokes by preventing blood clot formation
saxagliptin 5 MG,DPP-4 inhibitor,Type 2 diabetes mellitus,saxagliptin 5 MG is an oral diabetes medication that helps control blood sugar levels by increasing insulin release
sitagliptin 50 MG,DPP-4 inhibitor,Type 2 diabetes mellitus,sitagliptin 50 MG is used to manage type 2 diabetes by improving insulin regulation and reducing blood glucose levels
tadalafil 5 MG,PDE-5 inhibitor,Erectile dysfunction and benign prostatic hyperplasia,tadalafil 5 MG is used to treat erectile dysfunction and urinary symptoms of benign prostatic hyperplasia by improving blood flow
